Country,Region,value,variable,year
Switzerland,Western Europe,1,Happiness Rank,2015
Iceland,Western Europe,2,Happiness Rank,2015
Denmark,Western Europe,3,Happiness Rank,2015
Norway,Western Europe,4,Happiness Rank,2015
Canada,North America,5,Happiness Rank,2015
Finland,Western Europe,6,Happiness Rank,2015
Netherlands,Western Europe,7,Happiness Rank,2015
Sweden,Western Europe,8,Happiness Rank,2015
New Zealand,Australia and New Zealand,9,Happiness Rank,2015
Australia,Australia and New Zealand,10,Happiness Rank,2015
Israel,Middle East and Northern Africa,11,Happiness Rank,2015
Costa Rica,Latin America and Caribbean,12,Happiness Rank,2015
Austria,Western Europe,13,Happiness Rank,2015
Mexico,Latin America and Caribbean,14,Happiness Rank,2015
United States,North America,15,Happiness Rank,2015
Brazil,Latin America and Caribbean,16,Happiness Rank,2015
Luxembourg,Western Europe,17,Happiness Rank,2015
Ireland,Western Europe,18,Happiness Rank,2015
Belgium,Western Europe,19,Happiness Rank,2015
United Arab Emirates,Middle East and Northern Africa,20,Happiness Rank,2015
United Kingdom,Western Europe,21,Happiness Rank,2015
Oman,Middle East and Northern Africa,22,Happiness Rank,2015
Venezuela,Latin America and Caribbean,23,Happiness Rank,2015
Singapore,Southeastern Asia,24,Happiness Rank,2015
Panama,Latin America and Caribbean,25,Happiness Rank,2015
Germany,Western Europe,26,Happiness Rank,2015
Chile,Latin America and Caribbean,27,Happiness Rank,2015
Qatar,Middle East and Northern Africa,28,Happiness Rank,2015
France,Western Europe,29,Happiness Rank,2015
Argentina,Latin America and Caribbean,30,Happiness Rank,2015
Czech Republic,Central and Eastern Europe,31,Happiness Rank,2015
Uruguay,Latin America and Caribbean,32,Happiness Rank,2015
Colombia,Latin America and Caribbean,33,Happiness Rank,2015
Thailand,Southeastern Asia,34,Happiness Rank,2015
Saudi Arabia,Middle East and Northern Africa,35,Happiness Rank,2015
Spain,Western Europe,36,Happiness Rank,2015
Malta,Western Europe,37,Happiness Rank,2015
Taiwan,Eastern Asia,38,Happiness Rank,2015
Kuwait,Middle East and Northern Africa,39,Happiness Rank,2015
Suriname,Latin America and Caribbean,40,Happiness Rank,2015
Trinidad and Tobago,Latin America and Caribbean,41,Happiness Rank,2015
El Salvador,Latin America and Caribbean,42,Happiness Rank,2015
Guatemala,Latin America and Caribbean,43,Happiness Rank,2015
Uzbekistan,Central and Eastern Europe,44,Happiness Rank,2015
Slovakia,Central and Eastern Europe,45,Happiness Rank,2015
Japan,Eastern Asia,46,Happiness Rank,2015
South Korea,Eastern Asia,47,Happiness Rank,2015
Ecuador,Latin America and Caribbean,48,Happiness Rank,2015
Bahrain,Middle East and Northern Africa,49,Happiness Rank,2015
Italy,Western Europe,50,Happiness Rank,2015
Bolivia,Latin America and Caribbean,51,Happiness Rank,2015
Moldova,Central and Eastern Europe,52,Happiness Rank,2015
Paraguay,Latin America and Caribbean,53,Happiness Rank,2015
Kazakhstan,Central and Eastern Europe,54,Happiness Rank,2015
Slovenia,Central and Eastern Europe,55,Happiness Rank,2015
Lithuania,Central and Eastern Europe,56,Happiness Rank,2015
Nicaragua,Latin America and Caribbean,57,Happiness Rank,2015
Peru,Latin America and Caribbean,58,Happiness Rank,2015
Belarus,Central and Eastern Europe,59,Happiness Rank,2015
Poland,Central and Eastern Europe,60,Happiness Rank,2015
Malaysia,Southeastern Asia,61,Happiness Rank,2015
Croatia,Central and Eastern Europe,62,Happiness Rank,2015
Libya,Middle East and Northern Africa,63,Happiness Rank,2015
